sample	min_cov	min_prop	bin	pass	bases	mean	11+	21+	31+	41+	51+	61+	71+	81+	91+	101+	111+	121+	131+	141+	151+
PD53333d	20	80	41+	true	50337604	121.1015	99.0300	96.4100	91.8600	86.1600	79.9100	73.5000	67.0900	60.8100	54.7300	48.9200	43.4800	38.4500	33.8500	29.6900	25.9700
PD53333e	20	80	31+	true	50337604	86.8420	97.9300	92.1100	83.8900	74.9600	65.9900	57.3400	49.2400	41.8600	35.3100	29.5900	24.7000	20.5500	17.0900	14.2400	11.8700
PD53333f	20	80	41+	true	50337604	103.6919	98.8700	95.9100	90.6900	83.9100	76.4800	68.9200	61.5000	54.3100	47.4600	41.0600	35.2200	29.9700	25.3400	21.3200	17.8600
PD53334a	20	80	41+	true	50337604	97.1362	98.8900	95.6600	89.9900	82.8800	75.1800	67.4500	59.8200	52.4300	45.4600	39.0300	33.2500	28.1300	23.6600	19.8100	16.5400
PD53334b	20	80	41+	true	50337604	88.5420	98.8100	95.4400	89.2600	81.3100	72.7600	64.2400	56	48.1400	40.8800	34.3000	28.4700	23.4000	19.0700	15.4300	12.4200
PD53335a	20	80	41+	true	50337604	105.0618	98.3500	94.1600	87.8800	80.6200	72.9700	65.2800	58.0100	51.3600	45.4000	40.0800	35.3900	31.2300	27.5600	24.3000	21.4200
PD53335b	20	80	41+	true	50337604	87.3518	98.7200	95.4100	89.2100	81.1800	72.6100	64.0500	55.6700	47.6600	40.2100	33.5000	27.5900	22.4900	18.1400	14.5700	11.6100
PD53335c	20	80	21+	true	50337604	75.8375	97.1100	89.6900	79.6400	68.9300	58.7400	49.5500	41.6000	34.8500	29.1900	24.4300	20.4500	17.1200	14.3400	12.0200	10.0600
PD53335d	20	80	21+	true	50337604	70.2629	96.6800	88.4300	77.6400	66.3500	55.7200	46.3200	38.3200	31.6200	26.0300	21.4100	17.5900	14.4300	11.8200	9.6700	7.9000
PD53335e	20	80	31+	true	50337604	99.8004	98.3300	93.7600	87.1000	79.4900	71.4700	63.5700	56.1100	49.2900	43.1300	37.6700	32.8500	28.6400	24.9600	21.7500	18.9500
PD53336a	20	80	41+	true	50337604	104.7164	98.6200	95.1800	89.5900	82.6400	75.1800	67.6400	60.3200	53.3400	46.8500	40.9400	35.6100	30.8800	26.7100	23.0900	19.9600
PD53336c	20	80	41+	true	50337604	114.6798	98.6800	95.2600	89.9700	83.6000	76.7600	69.9300	63.2400	56.8400	50.8200	45.2200	40.1000	35.4700	31.3100	27.6000	24.3100
PD53336d	20	80	31+	true	50337604	98.9854	98.1500	93.4000	86.6200	78.9000	70.9700	63.2200	55.8400	48.9700	42.6900	37.0900	32.1200	27.7900	24.0200	20.7500	17.9600
PD53336e	20	80	41+	true	50337604	101.0204	98.4400	94.3200	87.9300	80.3100	72.3400	64.4800	57.0500	50.1300	43.8200	38.1600	33.1500	28.7200	24.8600	21.5100	18.6300
PD53336f	20	80	41+	true	50337604	98.6079	98.5800	94.8500	88.8600	81.6000	73.8500	66.0400	58.3900	51.1200	44.3900	38.2700	32.8500	28.0800	23.9400	20.3900	17.3600
PD53336l	20	80	71+	true	50337604	183.4668	99.1600	97.6400	95.2500	92.2000	88.6500	84.7900	80.7300	76.5800	72.3800	68.2100	64.1300	60.1700	56.3500	52.6600	49.0900
PD53337a	20	80	51+	true	50337604	111.2084	99.2000	97.1900	93.2900	87.7600	81.2900	74.4900	67.6600	60.9600	54.4400	48.2000	42.3100	36.8600	31.9000	27.4300	23.4600
PD53337b	20	80	51+	true	50337604	108.1958	99.1500	97.0400	92.9500	87.1900	80.4800	73.5100	66.5700	59.7800	53.1900	46.8800	40.9400	35.4800	30.5300	26.1000	22.1600
PD53337c	20	80	41+	true	50337604	101.1116	98.9600	96.0700	90.9700	84.4100	77.2100	69.8600	62.5700	55.4500	48.5900	42.1700	36.2600	30.9400	26.2600	22.1900	18.6400
PD53338a	20	80	41+	true	50337604	97.0626	98.6900	95.2200	89.1500	81.6100	73.5600	65.4500	57.5200	50	43.0600	36.7900	31.2500	26.4300	22.2800	18.7600	15.7900
PD53338b	20	80	41+	true	50337604	101.1913	99.0100	96.7400	92.2100	85.8500	78.6100	71.1500	63.7300	56.4900	49.4900	42.8600	36.7500	31.2400	26.3400	22.0400	18.3200
PD53339a	20	80	31+	true	50337604	85.1478	98.5300	94.9400	88.3000	79.6200	70.3200	61.2000	52.6200	44.7700	37.7200	31.4600	26.0200	21.3500	17.4200	14.1300	11.4000
PD53339b	20	80	51+	true	50337604	121.2061	99.2400	97.8300	94.9900	90.5500	84.9600	78.8400	72.5300	66.2500	60.0700	54.0400	48.2600	42.7900	37.6600	32.9400	28.6400
PD53340a	20	80	31+	true	50337604	87.5097	98.5600	94.2600	87.1900	78.6800	69.7600	61.0200	52.6300	44.8200	37.7400	31.4900	26.0700	21.4300	17.5400	14.3100	11.6400
PD53341a	20	80	31+	true	50337604	81.2605	98.3700	93.7900	85.9100	76.3200	66.4300	56.9800	48.2200	40.3100	33.3300	27.3100	22.2000	17.9600	14.4700	11.6300	9.3200
PD53341b	20	80	41+	true	50337604	105.3620	99.1400	96.8300	92.4500	86.4000	79.4800	72.3200	65.2300	58.3000	51.6000	45.2300	39.2600	33.7700	28.8600	24.5000	20.6600
PD53342a	20	80	41+	true	50337604	88.7136	98.6100	95.1100	88.6400	80.3300	71.4000	62.5700	54.1800	46.4100	39.4000	33.1600	27.6800	22.9800	18.9900	15.6200	12.8400
PD53342b	20	80	61+	true	50337604	131.8058	99.2800	98.0900	95.8200	92.2000	87.4300	81.9300	76.0700	70.1900	64.4000	58.7600	53.2900	48.0300	43.0200	38.3200	33.9400
PD53343a	20	80	41+	true	50337604	93.2475	98.5000	94.6700	88.4200	80.8100	72.7600	64.7700	57.0200	49.6600	42.8200	36.5700	30.9900	26.1000	21.8400	18.2100	15.1400
PD53343b	20	80	71+	true	50337604	147.4170	99.4400	98.5000	96.6400	93.6700	89.7500	85.2100	80.3700	75.4000	70.3700	65.3200	60.2900	55.3200	50.4500	45.7800	41.3000
PD53343c	20	80	51+	true	50337604	114.6027	98.9700	96.6500	92.5500	87.0100	80.6700	74.0500	67.4000	60.9200	54.6700	48.7400	43.1900	38.0400	33.3300	29.0600	25.2200
PD53343d	20	80	51+	true	50337604	119.5478	99.0100	96.7400	92.7500	87.3900	81.2400	74.7800	68.3200	62.0100	55.9400	50.1900	44.8000	39.7900	35.1800	31.0200	27.2700
PD53343e	20	80	41+	true	50337604	106.0592	98.7700	95.8000	90.6900	84.1500	76.8900	69.4900	62.2600	55.3600	48.9200	42.9700	37.5800	32.7200	28.4000	24.5700	21.2200
PD53343f	20	80	31+	true	50337604	75.7592	97.7100	91.6400	82.5100	72.2800	62.1800	52.7200	44.1300	36.5900	30.1100	24.6100	20.0400	16.2600	13.1600	10.6500	8.6100
PD53343g	20	80	31+	true	50337604	87.4469	98.3500	94.0500	87.0100	78.5000	69.6000	60.9400	52.7800	45.2300	38.4400	32.4600	27.2000	22.6900	18.8700	15.6300	12.9200
PD53343h	20	80	41+	true	50337604	96.5818	98.8300	95.7700	90.2900	83.3000	75.6600	67.8700	60.1300	52.7000	45.6600	39.1500	33.2800	28.0700	23.5100	19.6000	16.2900
PD53343i	20	80	51+	true	50337604	113.8696	99.0400	96.7900	92.7100	87.2200	80.9400	74.3700	67.7200	61.1700	54.7900	48.7200	43	37.7400	32.9600	28.6400	24.7700
PD53343j	20	80	71+	true	50337604	171.8207	99.3100	98.1300	96.0500	93.1500	89.6300	85.6500	81.4200	77.0700	72.7200	68.4200	64.1800	60.0300	55.9800	52.0600	48.2800
PD53343k	20	80	61+	true	50337604	157.8644	98.9600	96.6200	93.2000	89.2900	85.1900	80.9700	76.6500	72.2400	67.7800	63.3200	58.9400	54.6900	50.6000	46.6500	42.8800
PD53344a	20	80	31+	true	50337604	76.8939	97.3700	90.4400	80.6000	70.0900	59.9500	50.5300	42.0600	34.6900	28.3800	23.1300	18.8500	15.3800	12.5900	10.3700	8.6000
PD53344c	20	80	31+	true	50337604	97.4748	98.3000	93.6400	86.4000	77.9300	69.2300	60.8900	53.1700	46.2000	39.9600	34.4700	29.7000	25.5700	22.0300	18.9700	16.3600
PD53344d	20	80	11+	false	50337604	49.2607	93.2100	78.0800	61.6100	47.1300	35.4700	26.4700	19.6900	14.6400	10.9300	8.2400	6.2900	4.8800	3.8400	3.0800	2.5200
PD53344e	20	80	21+	true	50337604	74.9207	97.0600	89.3800	78.7700	67.6200	57.1200	47.8300	39.7400	32.8300	27.0600	22.2800	18.3300	15.1100	12.4800	10.3500	8.6200
PD53344f	20	80	41+	true	50337604	96.0412	98.8100	94.9200	88.4700	80.7800	72.7500	64.7400	56.9000	49.5200	42.6600	36.4900	31.0300	26.2600	22.1300	18.6200	15.6500
PD53344l	20	80	61+	true	50337604	161.6747	99.3300	98.0600	95.7700	92.4400	88.2500	83.4800	78.4300	73.2500	68.1100	63.1100	58.3100	53.7500	49.4200	45.3500	41.5200
PD53345a	20	80	41+	true	50337604	111.5919	99.0600	96.6700	92.2500	86.1900	79.1800	71.9000	64.7300	57.7800	51.2000	45.0800	39.4800	34.3800	29.8100	25.7500	22.1500
PD53345b	20	80	61+	true	50337604	136.5118	99.4800	98.2000	95.6900	91.9700	87.3700	82.2900	76.9900	71.6400	66.2400	60.8700	55.5500	50.3700	45.4000	40.6600	36.1900
PD53346a	20	80	41+	true	50337604	90.7928	98.6700	95.2200	88.9600	81.0100	72.5100	64.0800	55.9700	48.3400	41.3500	35.0900	29.5400	24.6900	20.5300	17	14.0400
PD53346b	20	80	51+	true	50337604	105.6112	99.0500	97.0400	93.0700	87.2600	80.4200	73.2100	66.0700	59.0600	52.2400	45.7400	39.6700	34.0900	29.0700	24.6200	20.6900
PD53347a	20	80	31+	true	50337604	77.4952	97.2000	90.3400	80.7900	70.4800	60.5000	51.3100	43.1500	36.0900	30.0700	25.0100	20.7900	17.3000	14.3900	12.0100	10.0400
PD53347b	20	80	31+	true	50337604	83.8775	98.6100	94.6900	87.8100	79.4500	70.6700	61.8500	53.2100	45.0500	37.5400	30.8600	25.0800	20.1900	16.1200	12.7900	10.1100
PD53347c	20	80	31+	true	50337604	89.9764	98.4500	94.2600	87.2700	78.8900	70.1100	61.5000	53.3200	45.7900	39.0400	33.0800	27.9200	23.5000	19.7400	16.5500	13.8800
PD53348a	20	80	41+	true	50337604	94.1847	98.7700	95.1000	88.8700	81.3300	73.2600	65.1300	57.1500	49.5300	42.4700	36.1000	30.4400	25.5300	21.3300	17.7700	14.7900
PD53348b	20	80	51+	true	50337604	114.5796	99.2500	97.3300	93.6300	88.4300	82.3900	76	69.5500	63.1000	56.7700	50.6200	44.7300	39.2000	34.1100	29.5100	25.3600
PD53349a	20	80	31+	true	50337604	96.1855	98.3100	94.1300	87.5700	79.8800	71.8800	64.0100	56.4200	49.3000	42.7200	36.8000	31.5400	26.9400	22.9500	19.4800	16.5500
PD53349b	20	80	41+	true	50337604	101.4914	99.0700	96.3700	91.4200	85	77.9300	70.7200	63.4600	56.3100	49.4000	42.8700	36.8500	31.4000	26.5700	22.3200	18.6500
PD53349c	20	80	41+	true	50337604	100.8538	98.6200	95	89.0300	81.8100	74.1300	66.3800	58.8900	51.7900	45.2600	39.3400	34.0100	29.2900	25.1900	21.6100	18.5100
PD53349d	20	80	41+	true	50337604	99.9718	98.6500	94.9700	89.0200	81.8000	74.1800	66.5500	59.1000	52.0300	45.4200	39.3700	33.9200	29.0600	24.8400	21.1700	18.0200
PD53349e	20	80	31+	true	50337604	87.8270	98.2400	93.1700	85.5200	76.9400	68.1500	59.5400	51.3400	43.7800	37.0100	31.0900	26.0100	21.7200	18.1100	15.1300	12.6500
PD53349f	20	80	61+	true	50337604	152.9504	99.1400	97.7700	95.2700	91.6900	87.2500	82.2300	76.9700	71.6400	66.3700	61.2800	56.4500	51.8700	47.5400	43.4800	39.7100
PD53350a	20	80	31+	true	50337604	85.0385	97.9000	92.1600	83.8100	74.5000	65.1300	56.1700	47.9100	40.4700	33.9300	28.3100	23.5500	19.5500	16.2300	13.4800	11.2300
PD53350b	20	80	51+	true	50337604	112.1355	99.2400	97.2500	93.4100	87.9800	81.7000	75.1100	68.4800	61.9200	55.4700	49.2400	43.3000	37.7700	32.7000	28.1200	24.0400
PD53350c	20	80	41+	true	50337604	107.5191	98.6600	95.1000	89.3900	82.4900	75.1800	67.8600	60.7300	53.9100	47.5100	41.6400	36.3200	31.5600	27.3400	23.6500	20.4300
PD53350d	20	80	41+	true	50337604	101.5988	98.7900	95.3700	89.6500	82.6200	75.1000	67.4800	59.8900	52.6200	45.8200	39.5700	33.9700	29	24.6500	20.9000	17.6800
PD53350e	20	80	41+	true	50337604	95.5433	98.6500	94.8200	88.4600	80.7700	72.6500	64.5100	56.6400	49.2200	42.3700	36.1800	30.7100	25.9400	21.8200	18.2900	15.3300
PD53350f	20	80	61+	true	50337604	172.3584	99.2200	97.9800	95.8200	92.7000	88.8100	84.3600	79.6100	74.7200	69.8600	65.1000	60.5200	56.1300	51.9600	48.0100	44.2900
PD53351a	20	80	41+	true	50337604	111.8123	98.7600	95.5100	90.1100	83.5600	76.5200	69.3300	62.2400	55.4100	49.0300	43.1800	37.9000	33.2000	29.0300	25.3800	22.1800
PD53351b	20	80	51+	true	50337604	105.9573	99.1000	97.0300	92.9300	87.1100	80.4000	73.3900	66.3400	59.3000	52.4800	45.9400	39.8200	34.2000	29.1400	24.6600	20.7400
PD53352a	20	80	31+	true	50337604	89.3525	98.1600	93.6600	86.7400	78.5600	70.1100	61.9200	54.1800	46.9100	40.2700	34.2800	28.9600	24.3100	20.2800	16.8300	13.9300
PD53352b	20	80	51+	true	50337604	113.5895	99.1900	97.3800	93.7800	88.6000	82.5400	76.1200	69.5800	63.0500	56.6000	50.3200	44.3100	38.7000	33.5400	28.8900	24.7100
PD53352c	20	80	31+	true	50337604	91.1666	98.3500	94.4000	87.8100	79.8600	71.4600	63.1000	55.1100	47.6200	40.8200	34.7000	29.3500	24.6800	20.6700	17.2400	14.3400
PD53352d	20	80	31+	true	50337604	85.2317	98.3900	93.9900	86.7800	78.1600	69.2100	60.4700	52.2000	44.5300	37.5900	31.4500	26.0900	21.4900	17.6200	14.3700	11.6700
PD53352e	20	80	41+	true	50337604	104.9110	98.6800	95.5900	90.2700	83.6100	76.4100	69.0700	61.8200	54.8300	48.2900	42.2800	36.7900	31.8700	27.5400	23.7300	20.4200
PD53353a	20	80	51+	true	50337604	112.4399	99.1300	97.1500	93.2300	87.7300	81.4400	74.8100	68.1000	61.4300	54.9200	48.6700	42.7800	37.3300	32.3500	27.9000	23.9400
PD53353b	20	80	61+	true	50337604	131.4019	99.3700	98.1200	95.5900	91.7200	86.8800	81.5200	75.9400	70.2900	64.6300	59.0100	53.4900	48.1300	43	38.1900	33.7200
PD53354a	20	80	41+	true	50337604	97.4770	98.8500	95.6400	90.0100	83	75.4000	67.6600	60.0700	52.7400	45.8300	39.4600	33.7000	28.6100	24.1600	20.3100	17.0100
PD53354b	20	80	41+	true	50337604	101.4378	99.0300	96.3000	91.3600	84.9300	77.8800	70.6500	63.4200	56.3000	49.4300	42.9200	36.8900	31.4300	26.5700	22.3100	18.6300
PD53355a	20	80	31+	true	50337604	94.5311	98.2600	93.6500	86.4700	78.1100	69.4100	60.9500	52.9700	45.6800	39.1300	33.3700	28.3400	23.9900	20.2900	17.1500	14.4900
PD53355b	20	80	41+	true	50337604	99.1781	99	96.3100	91.3200	84.6200	77.2000	69.6400	62.1700	54.9300	47.9900	41.5000	35.5100	30.1400	25.3600	21.2100	17.6200
PD53355c	20	80	41+	true	50337604	105.3595	98.8300	95.5500	90.0100	83.0100	75.4500	67.7900	60.3600	53.2500	46.6100	40.5200	35	30.0900	25.7700	22.0100	18.7700
PD53356a	20	80	21+	true	50337604	55.8429	94.9400	83.4300	69.6500	56.4400	44.8100	35.0300	27	20.6400	15.7100	11.9700	9.1300	7	5.3800	4.1500	3.2400
PD53356c	20	80	41+	true	50337604	106.1146	98.9400	96.3200	91.5500	85.4000	78.6100	71.5600	64.4900	57.5200	50.8200	44.5200	38.7000	33.4100	28.7000	24.5100	20.8600
PD53357a	20	80	31+	true	50337604	93.7230	98.3700	94.0800	87.3300	79.3800	71.1000	62.9100	55.1400	47.9000	41.3300	35.5000	30.3600	25.8700	22.0200	18.7200	15.8900
PD53357b	20	80	41+	true	50337604	105.1720	99.0400	96.7400	92.3400	86.4000	79.7200	72.7600	65.7500	58.7500	51.9300	45.4100	39.2900	33.6900	28.6500	24.2200	20.3600
PD53357c	20	80	41+	true	50337604	105.4978	98.9100	96.0800	91.0300	84.6100	77.6300	70.4200	63.2100	56.2500	49.5800	43.3700	37.7000	32.6100	28.1000	24.1300	20.6600
PD53357d	20	80	41+	true	50337604	102.0753	98.5500	94.7900	88.8000	81.6600	74.1000	66.5400	59.2200	52.2800	45.8900	40.0500	34.8000	30.1500	26.0800	22.5300	19.4500
PD53357e	20	80	41+	true	50337604	98.2056	98.6900	95.3000	89.4400	82.2500	74.5000	66.6900	59.0300	51.7800	45.0200	38.8300	33.3000	28.4000	24.1100	20.4000	17.2300
PD53358a	20	80	31+	true	50337604	88.8589	98.1600	93.4200	86.1200	77.6200	68.8200	60.1500	51.9200	44.3200	37.4900	31.4900	26.3000	21.8800	18.1700	15.0600	12.4800
PD53358b	20	80	51+	true	50337604	112.8912	99.1600	97.2600	93.4800	88.1800	82.0500	75.6100	69.0600	62.5200	56.0600	49.7800	43.8300	38.2600	33.1500	28.5200	24.3900
PD53359a	20	80	31+	true	50337604	89.4399	98.1500	93.3600	85.9700	77.5100	68.7700	60.3300	52.3800	45.1500	38.6700	32.9800	28.0400	23.7700	20.1100	16.9900	14.3300
PD53359b	20	80	41+	true	50337604	100.1026	99	96.5000	91.6700	85.2400	78.0900	70.7500	63.3500	56.0400	48.9400	42.2500	36.1100	30.5600	25.6500	21.3800	17.7400
PD53359c	20	80	41+	true	50337604	100.9792	98.4900	94.6700	88.7300	81.5600	73.9000	66.3400	59.0900	52.2700	45.9400	40.1800	34.9700	30.3100	26.1800	22.5500	19.3800
PD53360a	20	80	41+	true	50337604	96.0298	98.8500	95.4300	89.5400	82.3200	74.6200	66.8400	59.1100	51.6400	44.5700	38.0700	32.2700	27.1500	22.7300	18.9600	15.7700
PD53361a	20	80	41+	true	50337604	99.2749	98.8400	95.5700	89.8700	82.7200	75.0400	67.3200	59.7800	52.5200	45.7200	39.4800	33.8500	28.8900	24.5500	20.7700	17.5300
PD53361b	20	80	51+	true	50337604	117.7428	99.2900	97.5200	94.1200	89.2100	83.3700	77.1100	70.7700	64.4700	58.2600	52.2200	46.4300	40.9600	35.8600	31.2000	27.0200
PD53362a	20	80	41+	true	50337604	101.4579	99	96.1200	90.8900	84.2500	77.0800	69.7500	62.4400	55.2700	48.4200	42.0400	36.2100	30.9800	26.3400	22.2800	18.7700
PD53362b	20	80	41+	true	50337604	93.5116	98.9500	96.0900	90.6700	83.3900	75.2900	67.1400	59.1800	51.5300	44.3500	37.7200	31.7500	26.4700	21.8900	18	14.7000
PD53363a	20	80	41+	true	50337604	96.5873	98.8900	95.9800	90.6100	83.6600	76.1300	68.4000	60.6400	53.0800	45.8800	39.2100	33.2000	27.8500	23.2100	19.2400	15.8800
PD53363b	20	80	61+	true	50337604	140.4285	99.4000	98.3400	96.2100	92.8700	88.5700	83.7200	78.5800	73.3500	68.0700	62.8000	57.5800	52.4300	47.4400	42.6500	38.1300
PD53364a	20	80	31+	true	50337604	85.7387	98.0500	92.9500	85.1200	76.1700	67.0400	58.2900	50.1400	42.7300	36.1600	30.4100	25.4500	21.2300	17.6900	14.7100	12.2400
PD53364b	20	80	51+	true	50337604	109.2071	99.1100	96.9700	92.7900	87.1600	80.8200	74.2300	67.5200	60.7500	54.1000	47.6900	41.6200	35.9900	30.9100	26.3700	22.3800
PD53364c	20	80	61+	true	50337604	136.1597	99.2800	97.7900	94.8600	90.6600	85.6500	80.1900	74.5200	68.8200	63.1900	57.7200	52.4500	47.4500	42.7700	38.4200	34.4000
PD53365a	20	80	41+	true	50337604	109.9530	98.8600	96.2300	91.5200	85.3700	78.4500	71.3000	64.2500	57.5400	51.2100	45.3000	39.8600	34.9000	30.4100	26.4100	22.8600
PD53365b	20	80	51+	true	50337604	108.7917	99.1200	97.1200	93.1700	87.5900	81.1200	74.3400	67.5100	60.7100	54.0200	47.5900	41.5100	35.8900	30.7900	26.2400	22.2200
PD53366a	20	80	31+	true	50337604	85.4213	98.6900	94.6200	87.6900	79.4000	70.7000	61.9600	53.4000	45.3800	38.0200	31.4900	25.8300	21.0200	17.0100	13.7100	11.0300
PD53366b	20	80	61+	true	50337604	129.4881	99.4200	97.9800	95.1700	91.0500	85.9900	80.4600	74.7500	69.0200	63.3300	57.7300	52.2400	46.9300	41.8900	37.1600	32.7900
PD53367a	20	80	41+	true	50337604	88.7542	98.6800	94.8800	88.3600	80.5500	72.3000	63.8900	55.5100	47.4300	39.9900	33.3200	27.5100	22.5300	18.3500	14.8700	12.0400
PD53367b	20	80	61+	true	50337604	142.0230	99.3800	98.3600	96.3600	93.1700	88.9900	84.1700	79.0200	73.7300	68.4600	63.2200	58.0200	52.9500	48.0400	43.3200	38.8400
PD53368a	20	80	41+	true	50337604	106.6484	98.8600	95.4900	89.6400	82.4300	74.7400	67.0300	59.6400	52.6900	46.2900	40.4800	35.2800	30.6500	26.6100	23.0800	20.0100
PD53368b	20	80	61+	true	50337604	135.0199	99.4600	98.2900	96.0300	92.4900	87.8700	82.5600	76.9600	71.2900	65.6700	60.1700	54.8100	49.6300	44.6600	39.9700	35.5700
PD53369a	20	80	41+	true	50337604	97.9148	98.8300	95.5400	89.7600	82.4100	74.4800	66.5600	58.8900	51.6400	44.9000	38.7400	33.2100	28.2800	23.9800	20.2500	17.0600
PD53369b	20	80	61+	true	50337604	140.5018	99.4800	98.3500	96.1500	92.7300	88.3500	83.3800	78.1500	72.8400	67.5500	62.2900	57.1200	52.0600	47.1600	42.4700	38.0600
PD70589a	20	80	61+	true	50337604	141.5737	99.1500	97.6800	94.9900	91.1000	86.2900	80.9200	75.2900	69.6300	64.0500	58.6900	53.6000	48.8100	44.3400	40.1800	36.3100
PD70963a	20	80	21+	true	50337604	76.0464	96.7400	89.3800	79.3300	68.6700	58.4500	49.1200	40.8500	33.6500	27.5400	22.4500	18.2500	14.8200	12.0300	9.7900	7.9900
PD70963b	20	80	31+	true	50337604	80.7990	96.5400	90.2000	82.1200	73.4000	64.6900	56.3700	48.5900	41.4100	34.9700	29.3000	24.3900	20.1900	16.6400	13.6300	11.1400
PD70964a	20	80	21+	true	50337604	76.7276	96.6900	89.2700	79.4300	69.1400	59.2700	50.2900	42.2600	35.2700	29.2900	24.2500	20.0400	16.5800	13.6900	11.3200	9.3800
PD70964b	20	80	31+	true	50337604	77.1449	96.3400	89.6800	81.0600	71.7900	62.6100	53.9600	45.9600	38.7500	32.3300	26.7900	22.0500	18.0500	14.6800	11.9100	9.6200
PD70964c	20	80	21+	true	50337604	63.0572	95.6000	85.7000	73.4800	61.2700	50.1000	40.4000	32.2300	25.5800	20.2500	16.0300	12.6800	10.0800	8.0400	6.4400	5.2000
PD70965a	20	80	31+	true	50337604	85.7250	97.8100	92.9000	85.5200	77.0200	68.3300	59.8800	51.8600	44.4300	37.7000	31.7400	26.5400	22.0900	18.3100	15.1200	12.4500
PD70965b	20	80	31+	true	50337604	88.5667	97.4200	92.5400	85.5800	77.6400	69.4700	61.4800	53.8500	46.7200	40.1600	34.2100	28.9500	24.3600	20.3700	16.9500	14.0500
PD70966a	20	80	31+	true	50337604	71.9917	97.3800	90.6500	81.1900	71	60.9600	51.4100	42.5900	34.7800	28.0700	22.4400	17.8000	14.0300	11.0100	8.6200	6.7400
PD70966c	20	80	51+	true	50337604	117.2663	98.7900	96.4500	92.3900	86.9600	80.7300	74.2200	67.7500	61.4600	55.4300	49.7100	44.3400	39.3600	34.7700	30.6100	26.8500
PD70967a	20	80	31+	true	50337604	78.2073	96.7300	89.7200	81.3800	72.6100	63.5900	54.6900	46.3400	38.7800	32.1400	26.4400	21.6400	17.7000	14.4600	11.8200	9.6900
PD70967b	20	80	21+	true	50337604	67.1975	95.8500	87.7700	77.2600	66.3300	55.9800	46.5800	38.2400	31	24.8800	19.8200	15.6900	12.3500	9.6700	7.5600	5.8900
PD70968a	20	80	31+	true	50337604	84.6546	96.7300	90.5900	82.4800	73.6700	64.9200	56.6800	49.1200	42.2600	36.1400	30.7600	26.0800	22.0500	18.5900	15.6400	13.1300
PD70968b	20	80	31+	true	50337604	86.4503	96.7600	91.0600	83.8000	75.9800	68	60.1300	52.5300	45.4400	38.9200	33.0700	27.8900	23.3700	19.4800	16.1900	13.3900
PD70968c	20	80	31+	true	50337604	90.0874	97.0300	91.3600	83.8000	75.4700	67.1300	59.1800	51.7800	45.0100	38.9000	33.4800	28.7200	24.5600	20.9600	17.8700	15.2200
